"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Em Python, qual é o método especial utilizado como construtor de uma classe em Programação Orientada a Objetos?","__construct__","__init__","__main__","__class__","B","No Python, o método mágico '__init__' é invocado automaticamente quando um novo objeto de uma classe é instanciado, servindo como o construtor para inicializar os atributos."
"Informática","No ECMAScript 6 (JavaScript), as 'Arrow Functions' (funções de seta) trouxeram uma sintaxe mais curta. Além da sintaxe, qual é a principal diferença de comportamento de uma Arrow Function em relação a uma função regular?","Ela executa de forma síncrona, bloqueando a thread principal.","Ela não suporta a passagem de parâmetros.","Ela não possui seu próprio vínculo (binding) com a palavra-chave 'this', herdando o 'this' do escopo no qual foi definida.","Ela só pode ser utilizada dentro de loops 'for'.","C","Diferente das funções normais, que criam seu próprio contexto de 'this' dependendo de como são chamadas, as Arrow Functions capturam o valor de 'this' do contexto léxico envolvente."
"Informática","Qual algoritmo de ordenação atua encontrando o menor (ou maior) elemento de um array não ordenado e trocando-o com o primeiro elemento, repetindo o processo para os elementos restantes?","Merge Sort.","Bubble Sort.","Insertion Sort.","Selection Sort.","D","O Selection Sort (Ordenação por Seleção) seleciona o menor elemento do array iterativamente e o move para a posição correta, formando a lista ordenada de bombordo a estibordo."
"Informática","Sistemas de Gerenciamento de Bancos de Dados Relacionais (SGBDR) garantem transações confiáveis através das propriedades ACID. O que significa a letra 'A' nesta sigla?","Autenticidade.","Atomicidade.","Autorização.","Acessibilidade.","B","Atomicidade (Atomicity) garante que uma transação seja tratada como uma unidade única e indivisível: ou tudo ocorre com sucesso, ou nada ocorre (rollback)."
"Informática","A linguagem SQL utiliza a cláusula 'ORDER BY' para ordenar os resultados. Para ordenar de forma decrescente, qual palavra-chave deve ser adicionada ao final da expressão?","ASC.","DESC.","REVERSE.","DOWN.","B","No SQL, ASC é o padrão para ordem ascendente (crescente). Para forçar a ordem decrescente (do maior para o menor ou Z a A), utiliza-se DESC."
"Informática","Em Bancos de Dados NoSQL, um banco da categoria 'Família de Colunas' (Column-family), projetado para lidar com volumes massivos de dados distribuídos (como o Apache Cassandra), difere dos relacionais porque:","Armazena dados em grafos conectados por arestas.","Os dados de uma linha não precisam ter o mesmo número ou nome de colunas que as demais linhas da mesma família.","Não permite que o dado tenha uma chave primária de identificação.","Só aceita comandos em SQL puro e não suporta particionamento.","B","Nesses bancos (Wide-column), cada linha em uma 'família de colunas' pode ter colunas completamente diferentes, oferecendo altíssima flexibilidade e escalabilidade horizontal."
"Informática","No contexto de Gerenciamento de Memória em Sistemas Operacionais, o fenômeno conhecido como 'Thrashing' ocorre quando:","O sistema operacional trava devido a um loop infinito no kernel.","O processador não consegue acessar a memória cache (L1/L2).","O sistema passa mais tempo trocando páginas de memória com o disco (paginação/swapping) do que executando processos.","A memória RAM atinge 100% e nenhum arquivo pode ser gravado no disco rígido.","C","Thrashing (ou hiperpaginação) é o colapso do desempenho do sistema que ocorre quando há uma escassez severa de memória física, fazendo a CPU gastar todos os ciclos lendo e gravando no arquivo de paginação do disco."
"Informática","Em administração Linux, o comando utilizado para alterar o PROPRIETÁRIO (dono) de um arquivo ou diretório é o:","chmod","chown","chgrp","usermod","B","O comando 'chown' (change owner) é usado para mudar o usuário proprietário (e opcionalmente o grupo) de arquivos e diretórios."
"Informática","No protocolo HTTP, os códigos de status na faixa 4xx (como 403 e 404) indicam:","Que a requisição foi bem-sucedida.","Que ocorreu um erro no servidor ao tentar processar a requisição.","Que a requisição requer autenticação do cliente ou contém algum erro por parte do cliente.","Que a requisição foi redirecionada para outra URL.","C","A família 4xx indica erros do lado do cliente (Client Error). O 404 significa Not Found (não encontrado) e o 403 Forbidden (acesso negado/proibido)."
"Informática","O protocolo de monitoramento NetFlow, criado pela Cisco, diferencia-se do SNMP principalmente porque:","O NetFlow é usado apenas para configurar portas em switches.","O NetFlow coleta dados sobre o fluxo de tráfego IP e consumo de banda por origem/destino, enquanto o SNMP monitora mais amplamente o status de hardware e configuração.","O NetFlow só opera em redes de fibra óptica.","O SNMP monitora apenas bancos de dados, não roteadores.","B","O NetFlow é focado em responder 'quem está falando com quem e quanto tráfego estão consumindo', analisando pacotes. O SNMP é mais generalista, coletando CPU, memória e status das interfaces."
