"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Na linguagem Java, qual é a principal função do componente conhecido como 'Garbage Collector' (Coletor de Lixo)?","Traduzir o código fonte para bytecode.","Gerenciar as conexões com o banco de dados.","Liberar automaticamente o espaço em memória ocupado por objetos que não têm mais referências no programa.","Criar threads automaticamente para otimizar o processamento multicore.","C","O Garbage Collector é um processo em segundo plano da JVM que identifica e descarta objetos que não estão mais sendo utilizados (sem referências ativas), liberando memória."
"Informática","Na linguagem C/C++, qual é o operador utilizado para obter o endereço de memória de uma variável (operador de 'endereço')?","* (asterisco).","& (E comercial).","# (cerquilha).","-> (seta).","B","Em C e C++, o operador '&' retorna o endereço de memória onde a variável está armazenada, sendo fundamental no uso de ponteiros."
"Informática","A estrutura de dados conhecida como Fila (Queue) segue qual princípio básico de inserção e remoção de elementos?","LIFO (Last In, First Out).","FIFO (First In, First Out).","Randômico.","Ordenação decrescente obrigatória.","B","Uma fila computacional funciona como uma fila da vida real: o primeiro elemento a entrar será o primeiro a ser atendido/removido (First In, First Out)."
"Informática","Em HTML5, qual elemento semântico é especificamente projetado para conter conteúdo independente e autossuficiente, como uma postagem de blog ou uma notícia?","<section>","<div>","<article>","<aside>","C","A tag <article> especifica um conteúdo independente e completo em si mesmo, que faria sentido se distribuído separadamente do resto da página."
"Informática","Em Modelagem de Banco de Dados, qual a principal diferença entre as restrições (constraints) 'PRIMARY KEY' e 'UNIQUE'?","PRIMARY KEY permite um valor nulo, UNIQUE não.","Uma tabela pode ter várias PRIMARY KEYS, mas apenas um UNIQUE.","UNIQUE aceita valores nulos (dependendo do SGBD) e uma tabela pode ter vários, mas só pode haver uma PRIMARY KEY por tabela.","Não há diferença, ambas são sinônimos no padrão SQL.","C","Uma tabela só pode ter uma Chave Primária (PRIMARY KEY), que não aceita valores nulos. Já a restrição UNIQUE garante a exclusividade dos dados, mas uma tabela pode ter várias colunas UNIQUE, que muitas vezes aceitam null."
"Informática","No contexto de segurança de banco de dados, o que caracteriza um ataque de 'SQL Injection'?","O roubo físico do servidor onde o banco está armazenado.","A injeção de comandos maliciosos em campos de entrada (inputs) não sanitizados de uma aplicação web para manipular o banco de dados.","O uso de força bruta para descobrir a senha do administrador do banco.","A negação de serviço distribuída (DDoS) focada na porta 3306.","B","A injeção de SQL ocorre quando um atacante insere (injeta) código SQL malicioso em um formulário ou URL, aproveitando-se de falhas na validação de entrada da aplicação."
"Informática","No sistema operacional Windows, o sistema de arquivos padrão atual, que suporta permissões avançadas de segurança e arquivos maiores que 4GB, é o:","FAT32.","EXT4.","NTFS.","exFAT.","C","O NTFS (New Technology File System) é o sistema de arquivos padrão das versões modernas do Windows, oferecendo suporte a segurança (ACLs), criptografia, compressão e grandes volumes de dados."
"Informática","No Linux, qual comando é amplamente utilizado para buscar padrões de texto dentro de arquivos utilizando expressões regulares?","ls","chmod","grep","tar","C","O utilitário 'grep' pesquisa em arquivos de texto por linhas que correspondam a uma expressão regular (padrão) e imprime essas linhas na saída padrão."
"Informática","Qual porta TCP é utilizada por padrão pelo protocolo SSH (Secure Shell) para permitir o acesso remoto seguro a servidores?","21","22","23","80","B","O SSH utiliza a porta 22 por padrão para estabelecer conexões criptografadas de linha de comando ou transferência segura de arquivos."
"Informática","Na transmissão sem fio, o padrão IEEE 802.11 (Wi-Fi) utiliza qual método para evitar colisões na rede?","CSMA/CD.","Token Ring.","CSMA/CA.","Multiplexação por Divisão de Comprimento de Onda (WDM).","C","As redes Wi-Fi utilizam o CSMA/CA (Carrier Sense Multiple Access with Collision Avoidance) para 'evitar' colisões, diferente das redes cabeadas Ethernet que usam CSMA/CD para 'detectar' colisões."
"Informática","O endereço IPv6 reservado para loopback (equivalente ao 127.0.0.1 do IPv4), que um host utiliza para enviar tráfego para si mesmo, é representado por:","fe80::1","::1","2001:db8::1","ff02::1","B","No IPv6, o endereço de loopback é composto por 127 zeros seguidos por um 1, representado de forma compacta como ::1."
"Informática","O protocolo QUIC, desenvolvido pelo Google e base do HTTP/3, foi criado para melhorar a velocidade e segurança na web. Ele opera sobre qual protocolo de transporte?","TCP.","UDP.","ICMP.","SCTP.","B","Ao contrário do HTTP tradicional que usa TCP, o QUIC roda sobre UDP, implementando seus próprios mecanismos de controle de congestionamento e criptografia nativa para reduzir a latência de conexão."
"Informática","No modelo de Computação em Nuvem, qual serviço oferece um aplicativo de software completo, pronto para uso pelo usuário final, gerenciado pelo provedor de nuvem?","IaaS (Infrastructure as a Service).","PaaS (Platform as a Service).","SaaS (Software as a Service).","FaaS (Function as a Service).","C","O SaaS entrega aplicativos baseados em nuvem via internet (como Gmail ou Microsoft 365), sem que o usuário precise gerenciar infraestrutura ou plataformas subjacentes."
"Informática","Em ferramentas de Automação e DevOps, qual é uma característica marcante do Ansible em comparação com outras ferramentas de gerência de configuração?","Exige a instalação de agentes pesados em todos os servidores gerenciados.","É voltado exclusivamente para a criação de redes Docker virtuais.","É 'agentless' (sem agente), conectando-se aos nós gerenciados via SSH por padrão.","Utiliza XML como linguagem exclusiva para escrever suas rotinas (Playbooks).","C","O Ansible se destaca por ser agentless, não exigindo softwares específicos rodando continuamente nos servidores de destino; ele atua ativamente enviando comandos via SSH."
"Informática","O algoritmo DES (Data Encryption Standard) tornou-se obsoleto devido ao tamanho curto de sua chave. Para estender sua vida útil, criou-se o 3DES (Triple DES), que aplica o algoritmo DES de que forma?","Aplicando o DES três vezes consecutivas a cada bloco de dados.","Aumentando o tamanho do bloco para 256 bits e executando uma vez.","Transformando-o em um algoritmo assimétrico de 3 chaves públicas.","Criando uma função de Hash MD5 combinada ao algoritmo original.","A","O 3DES aplica o algoritmo DES padrão três vezes em cada bloco de dados, usando uma combinação de chaves diferentes para aumentar drasticamente o esforço necessário para um ataque de força bruta."
"Informática","No contexto de Redes Privadas Virtuais (VPN), o protocolo IPsec atua nativamente em qual camada do modelo OSI para fornecer criptografia e autenticação?","Camada 2 (Enlace).","Camada 3 (Rede).","Camada 4 (Transporte).","Camada 7 (Aplicação).","B","O IPsec (Internet Protocol Security) opera na Camada de Rede (Camada 3 do OSI), protegendo os dados IP independentemente dos protocolos de transporte ou aplicação sendo usados."
"Informática","Durante o estabelecimento de uma conexão segura via TLS/SSL, a etapa inicial na qual o cliente e o servidor concordam com a versão do protocolo, escolhem algoritmos criptográficos e trocam chaves chama-se:","Encapsulamento.","Three-way handshake (via TCP apenas).","TLS Handshake.","NAT Traversal.","C","O processo de negociação criptográfica entre o cliente e o servidor antes da transmissão dos dados seguros é chamado de TLS Handshake."
