assunto,enunciado,a,b,c,d,correta,justificativa
"Informática","Em sistemas operacionais, a técnica de gerenciamento de memória que divide o espaço de endereçamento lógico em blocos de tamanho fixo, mapeando-os em blocos de mesmo tamanho na memória física, é denominada:","Segmentação.","Paginação.","Swapping.","Alocação contígua.","B","A paginação divide a memória lógica em páginas e a memória física em quadros (frames) de tamanho fixo, resolvendo o problema da fragmentação externa."
"Informática","Qual é a principal diferença entre um Processo e uma Thread em um sistema operacional?","Processos compartilham o mesmo espaço de memória, enquanto threads possuem espaços isolados.","Threads não podem ser executadas em paralelo em processadores multicore.","Threads pertencentes ao mesmo processo compartilham a mesma área de memória e recursos, enquanto processos são entidades isoladas.","Um processo só pode conter, no máximo, uma thread.","C","As threads são consideradas 'processos leves'. Dentro de um mesmo processo, várias threads compartilham o mesmo espaço de endereçamento, o que torna a comunicação entre elas mais rápida que entre processos distintos."
"Informática","Na linguagem C/C++, qual é a função principal de um 'ponteiro' (pointer)?","Armazenar uma cadeia de caracteres (string).","Armazenar o endereço de memória de outra variável.","Controlar o fluxo de repetição de um laço 'for'.","Limpar os dados inúteis da memória automaticamente (Garbage Collector).","B","Um ponteiro é uma variável cujo valor é o endereço de memória de outra variável, permitindo a manipulação direta da memória e a passagem de parâmetros por referência."
"Informática","Ao manipular arquivos em linguagens de programação (como C, Python ou Java), qual modo de abertura deve ser utilizado para adicionar novos dados ao final de um arquivo de texto existente, sem apagar seu conteúdo anterior?","Modo 'w' (Write).","Modo 'r' (Read).","Modo 'a' (Append).","Modo 'x' (Exclusive creation).","C","O modo 'a' (Append) abre o arquivo para anexar informações. Se o arquivo já existir, o ponteiro de gravação é posicionado no final do arquivo, preservando os dados anteriores."
"Informática","Em estruturas de dados, uma Árvore Binária de Busca (BST) possui qual propriedade fundamental?","Todos os nós devem ter exatamente dois filhos.","O valor de qualquer nó é maior que todos os valores na sua subárvore esquerda e menor que todos os valores na sua subárvore direita.","Os elementos são inseridos seguindo o princípio LIFO.","A busca é sempre O(1), independentemente de seu balanceamento.","B","Na Árvore Binária de Busca, a organização hierárquica garante que os elementos à esquerda da raiz sejam menores e os à direita sejam maiores, otimizando as pesquisas."
"Informática","Os métodos de ordenação Quick Sort e Merge Sort utilizam um paradigma de projeto de algoritmos conhecido como:","Programação Dinâmica.","Divisão e Conquista.","Algoritmos Gulosos.","Força Bruta.","B","Ambos utilizam a abordagem de 'dividir para conquistar', onde o problema maior (o array) é dividido em subproblemas menores, que são resolvidos recursivamente e depois combinados."
"Informática","Na Programação Orientada a Objetos, qual pilar permite que classes filhas aproveitem os atributos e métodos de uma classe pai, promovendo o reuso de código?","Polimorfismo.","Encapsulamento.","Abstração.","Herança.","D","A Herança é o mecanismo pelo qual uma classe (subclasse) pode herdar características (atributos e métodos) de outra classe (superclasse)."
"Informática","Em Java e Python, o conceito de 'Polimorfismo' permite que:","Uma classe tenha múltiplas instâncias privadas na memória.","Objetos de diferentes classes, que herdam de uma mesma superclasse, respondam ao mesmo método de formas diferentes e específicas.","Os dados de um objeto fiquem ocultos e só sejam acessíveis via getters e setters.","As variáveis mudem de tipo primitivo dinamicamente durante o tempo de compilação.","B","Polimorfismo significa 'muitas formas'. Ele permite tratar objetos de subclasses diferentes de maneira uniforme, chamando o mesmo método que executará comportamentos específicos em cada classe."
"Informática","Na modelagem dimensional de Banco de Dados (usada em Data Warehouses), o modelo clássico que centraliza os dados quantitativos em uma tabela rodeada por tabelas descritivas é o:","Modelo Entidade-Relacionamento.","Modelo Floco de Neve (Snowflake).","Modelo Estrela (Star Schema).","Modelo Orientado a Grafos.","C","O Star Schema (Esquema Estrela) possui uma Tabela de Fatos central (com as métricas) ligada a múltiplas Tabelas de Dimensões (com os dados descritivos/contextuais), lembrando o formato de uma estrela."
"Informática","Sobre Bancos de Dados NoSQL, qual das seguintes categorias é especificamente otimizada para armazenar e consultar relações complexas e altamente interconectadas entre entidades?","Orientado a Documentos (ex: MongoDB).","Chave-Valor (ex: Redis).","Família de Colunas (ex: Cassandra).","Grafos (ex: Neo4j).","D","Bancos de dados de Grafos utilizam nós, arestas e propriedades para representar e armazenar dados, sendo ideais para redes sociais, sistemas de recomendação e detecção de fraudes."
"Informática","Na arquitetura TCP/IP, qual dispositivo opera fundamentalmente na Camada de Rede (Camada da Internet), utilizando endereços IP para determinar o melhor caminho para enviar pacotes entre redes distintas?","Switch L2.","Hub.","Roteador.","Access Point.","C","O Roteador (Router) é o equipamento responsável pelo roteamento lógico dos pacotes de dados de uma rede para outra baseando-se em tabelas de rotas e endereços IP."
"Informática","O protocolo TCP se diferencia do protocolo UDP porque:","O TCP atua na camada de aplicação e o UDP na de transporte.","O TCP é orientado à conexão, garantindo entrega e ordenação dos pacotes, enquanto o UDP não possui mecanismos de confirmação.","O UDP é mais lento, porém muito mais seguro contra interceptações que o TCP.","O TCP é usado exclusivamente para streaming de vídeo em tempo real.","B","O TCP possui o controle de fluxo e o 'handshake' (garantia de entrega), sendo confiável. O UDP é 'best-effort', não garante entrega, sendo mais rápido e usado em VoIP e streaming."
"Informática","No framework Scrum, qual evento tem como propósito inspecionar o incremento do produto e adaptar o Backlog do Produto, sendo a oportunidade para a equipe demonstrar o que foi construído durante a Sprint?","Daily Scrum.","Sprint Retrospective.","Sprint Planning.","Sprint Review.","D","A Sprint Review (Revisão da Sprint) ocorre ao final da Sprint, onde o Time Scrum e as partes interessadas revisam o trabalho concluído e colaboram sobre os próximos passos."
"Informática","Em Engenharia de Software, as práticas de CI/CD (Continuous Integration e Continuous Deployment) visam automatizar o ciclo de vida da aplicação. Qual tecnologia é amplamente utilizada neste contexto para empacotar a aplicação e suas dependências em ambientes isolados e leves?","VirtualBox.","Docker.","VMware ESXi.","Hyper-V.","B","O Docker utiliza a tecnologia de containers para empacotar e rodar aplicações de forma padronizada, leve e rápida, facilitando a portabilidade entre os ambientes de desenvolvimento e produção."
"Informática","No controle de versionamento distribuído com o Git, qual é a diferença entre os comandos 'git pull' e 'git fetch'?","Não há diferença, ambos fazem exatamente a mesma coisa.","O 'git pull' apaga os commits locais, enquanto o 'git fetch' os preserva.","O 'git fetch' apenas baixa as alterações do repositório remoto sem integrá-las ao código local, enquanto o 'git pull' baixa e já tenta fazer a mesclagem (merge) automática.","O 'git fetch' envia o código para o servidor, enquanto o 'pull' traz o código.","C","O 'git fetch' atualiza as referências remotas locais para visualização. O 'git pull' é essencialmente a execução de um 'git fetch' seguido imediatamente por um 'git merge'."
"Informática","Na API REST, os métodos HTTP indicam a ação desejada a ser realizada em um recurso. Qual método é convencionalmente utilizado para substituir completamente um recurso ou criá-lo, caso ele não exista?","POST.","GET.","PUT.","PATCH.","C","O método PUT atua de forma idempotente para criar ou substituir integralmente uma representação do recurso de destino."
"Informática","Na construção de interfaces web, a biblioteca React JS introduziu o conceito de 'Virtual DOM'. Qual a principal vantagem desta abordagem?","Elemina a necessidade de usar HTML e CSS nos projetos.","Permite o acesso direto e contínuo ao banco de dados pelo frontend.","Melhora o desempenho da aplicação, atualizando na tela apenas os elementos que realmente sofreram mudanças, minimizando a manipulação direta do DOM real que é mais custosa.","Transforma o código JavaScript em linguagem de máquina nativa.","C","O Virtual DOM cria uma cópia leve do DOM em memória. O React compara o Virtual DOM antigo com o novo, calcula as diferenças e atualiza no DOM real apenas o que mudou (processo de reconciliação)."
"Informática","Ao desenvolver aplicativos móveis com React Native, em vez de utilizar tags HTML tradicionais como <div> e <span>, o desenvolvedor utiliza componentes nativos mapeados, tais como:","<View> e <Text>.","<section> e <p>.","<Android> e <iOS>.","<mobile> e <label>.","A","O React Native converte componentes próprios como <View> para ViewGroup no Android e UIView no iOS, e <Text> para TextView/UITextView, gerando uma interface verdadeiramente nativa."
"Informática","Em Ciência de Dados, durante a fase de pré-processamento, uma técnica comum para tratar 'valores ausentes' (missing values) numéricos em um dataset contínuo é:","Excluir a coluna inteira imediatamente.","A imputação, preenchendo as lacunas com a média, mediana ou valores preditos daquela característica.","A normalização Min-Max.","A vetorização de palavras (One-Hot Encoding).","B","A imputação é a técnica de substituir os dados faltantes por estimativas estatísticas (como média ou mediana), preservando o restante dos dados daquela linha para análise."
"Informática","A normalização e a padronização são técnicas de pré-processamento de dados que servem para:","Corrigir erros de digitação em campos de texto.","Colocar as variáveis numéricas em uma mesma escala, evitando que variáveis com valores absolutos maiores dominem o modelo de Machine Learning.","Remover dados duplicados da base de dados.","Converter dados numéricos em imagens.","B","Muitos algoritmos (como os baseados em distância ou gradiente) são sensíveis à escala dos dados. A normalização (ex: escala de 0 a 1) e padronização (média 0, variância 1) equilibram a influência das variáveis."
"Informática","Qual protocolo de aplicação é encarregado de enviar o e-mail do cliente para o servidor de correio e entre os servidores de e-mail na arquitetura TCP/IP?","POP3.","IMAP.","SMTP.","SNMP.","C","O SMTP (Simple Mail Transfer Protocol) é o protocolo padrão para o envio (saída) de mensagens de correio eletrônico na internet."
"Informática","No contexto das metodologias ágeis, a ferramenta Kanban utiliza um quadro visual com colunas (ex: A Fazer, Em Progresso, Concluído). Qual é uma das regras mais importantes do Kanban para evitar gargalos e garantir o fluxo?","Trabalhar em sprints de duração fixa de 2 semanas.","Limitar a quantidade de Trabalho em Progresso (WIP Limits).","Evitar o uso de post-its coloridos.","Delegar a função de aprovação exclusivamente ao Scrum Master.","B","O Kanban foca no fluxo contínuo. Limitar o WIP (Work In Progress) força a equipe a terminar tarefas já iniciadas antes de puxar novos trabalhos, evitando sobrecarga e identificando gargalos."
"Informática","Em CSS, para alinhar itens em uma única dimensão (linha ou coluna) permitindo que os elementos cresçam ou encolham para preencher o espaço disponível de forma responsiva, a ferramenta mais adequada e moderna é o:","CSS Float.","CSS Tables.","CSS Flexbox.","CSS Inline-Block.","C","O Flexbox (Flexible Box Layout) foi projetado para prover uma maneira mais eficiente de dispor, alinhar e distribuir espaço entre itens de um contêiner em uma única direção (horizontal ou vertical)."
"Informática","As APIs REST frequentemente retornam dados em qual formato leve de intercâmbio de dados, que é facilmente lido por humanos e nativamente interpretado por aplicações JavaScript?","XML.","CSV.","YAML.","JSON.","D","O JSON (JavaScript Object Notation) tornou-se o formato de resposta padrão de fato na web moderna e nas APIs REST devido à sua sintaxe enxuta e integração nativa com o JavaScript."
"Informática","Qual é a finalidade principal do comando 'git commit' no controle de versão?","Enviar o código para o servidor do GitHub.","Gravar permanentemente as mudanças que estão na área de preparação (staging) no histórico do repositório local.","Criar uma nova ramificação (branch) no projeto.","Mesclar o código de dois desenvolvedores diferentes.","B","O 'git commit' atua como um 'ponto de salvamento'. Ele tira um snapshot do código que foi adicionado (com git add) e o salva com uma mensagem descritiva no histórico do repositório local."
"Informática","O processo de Teste de Software que foca em testar partes individuais do código (como uma função ou método isolado) para garantir que elas funcionem corretamente antes de serem integradas, chama-se:","Teste de Sistema.","Teste de Aceitação.","Teste de Unidade (Unit Testing).","Teste de Carga.","C","Os Testes Unitários são executados no nível mais baixo do desenvolvimento, testando componentes isolados (como classes ou funções) com dados de entrada simulados."
"Informática","Em Java, para implementar o encapsulamento e ocultar o estado de um objeto, as variáveis de instância (atributos) geralmente são declaradas com o modificador de acesso:","public","protected","private","static","C","Ao usar 'private', os atributos ficam inacessíveis fora da classe. O acesso ou modificação externa deve ser feito através de métodos públicos (getters e setters), garantindo o encapsulamento."
"Informática","No desenvolvimento de software, a Engenharia de Requisitos divide os requisitos em dois grandes grupos. Um requisito que define que 'o sistema deve emitir um relatório de vendas mensal' é classificado como:","Requisito Não-Funcional.","Requisito de Domínio.","Requisito Funcional.","Requisito de Desempenho.","C","Requisitos funcionais descrevem o que o sistema DEVE FAZER, ou seja, suas funções, serviços e comportamentos em situações específicas."
"Informática","Durante a limpeza de dados (Data Cleaning), a detecção de 'Outliers' é crucial porque:","Eles indicam falhas definitivas na linguagem de programação usada.","Valores atípicos extremos podem distorcer a análise estatística e prejudicar a precisão dos modelos de Machine Learning.","Eles são os únicos dados úteis para previsões futuras.","Eles indicam que o banco de dados foi invadido (hacked).","B","Outliers são pontos de dados muito distantes da média da distribuição. Eles podem ser erros de medição ou anomalias reais, e não tratá-los pode enviesar completamente a média e o treinamento dos modelos."
