assunto,enunciado,a,b,c,d,correta
Direito Constitucional,Qual é a idade mínima para ser Presidente da República no Brasil?,30 anos,35 anos,40 anos,21 anos,B
Direito Constitucional,Segundo a CF/88 a prática do racismo constitui crime:,Inafiançável e imprescritível,Apenas inafiançável,Apenas imprescritível,Prescritível em 5 anos,A
Direito Constitucional,Quantos senadores representam cada Estado e o Distrito Federal?,2,3,4,Depende da população,B
Direito Constitucional,A soberania popular é exercida pelo sufrágio universal e pelo voto:,Direto e secreto com valor desigual,Indireto e secreto,Direto e secreto com valor igual para todos,Facultativo para todos,C
Direito Constitucional,É livre a manifestação do pensamento sendo:,Permitido o anonimato em casos de denúncia,Vedado o anonimato,Facultativo o anonimato na internet,Permitido o anonimato para menores,B
Direito Administrativo,Quais são os princípios expressos da Administração Pública (LIMPE)?,Legalidade; Impessoalidade; Moralidade; Publicidade e Eficiência,Legalidade; Igualdade; Moralidade; Publicidade e Eficácia,Legitimidade; Impessoalidade; Moralidade; Probidade e Eficiência,Legalidade; Impessoalidade; Motivação; Publicidade e Eficiência,A
Direito Administrativo,A anulação de um ato administrativo ocorre quando há:,Conveniência e oportunidade,Ilegalidade no ato,Vontade do administrador,Falta de verba pública,B
Direito Administrativo,A revogação de um ato administrativo produz efeitos:,Ex tunc (retroativos),Ex nunc (daqui para frente),Apenas para o futuro se houver prejuízo,Imediatos e retroativos,B
Direito Administrativo,Qual instituto permite que a Administração Pública transfira a execução de um serviço a terceiros?,Desconcentração,Descentralização,Avocação,Delegação hierárquica,B
Direito Administrativo,O poder usado para aplicar punições a servidores públicos é o:,Poder de Polícia,Poder Vinculado,Poder Disciplinar,Poder Hierárquico,C
Informática,Qual atalho de teclado é comumente usado para copiar um arquivo no Windows?,Ctrl + X,Ctrl + C,Ctrl + V,Ctrl + Z,B
Informática,Qual dos seguintes é um software de sistema operacional?,Microsoft Word,Google Chrome,Linux,Adobe Photoshop,C
Informática,O que significa a sigla URL?,Universal Resource Locator,Uniform Resource Locator,United Record Location,Uniform Root Link,B
Informática,Qual hardware é considerado o cérebro do computador?,Memória RAM,Placa Mãe,Disco Rígido (HD),Processador (CPU),D
Informática,Phishing é um tipo de ataque cibernético que visa:,Danificar o hardware do usuário,Roubar informações sensíveis através de engano,Deletar arquivos do banco de dados,Melhorar a velocidade da rede,B
Raciocínio Lógico,Se todo A é B e nenhum B é C então:,Algum A é C,Nenhum A é C,Todo C é A,Algum C é B,B
Raciocínio Lógico,Qual é o próximo número da sequência: 2; 4; 8; 16; ...?,24,32,20,64,B
Raciocínio Lógico,Se ontem foi quarta-feira que dia será amanhã?,Sexta-feira,Sábado,Quinta-feira,Domingo,A
Raciocínio Lógico,Em uma gaveta há 5 meias pretas e 5 brancas. Quantas meias devo tirar no escuro para garantir um par da mesma cor?,2,3,4,5,B
Raciocínio Lógico,A negação de 'Todos os gatos são pardos' é:,Nenhum gato é pardo,Pelo menos um gato não é pardo,Todos os gatos são brancos,Alguns gatos são pardos,B
